epoch,test,train
0.0,0.2092857142857143,0.22447089947089946
50.0,0.9097619047619048,0.9022486772486773
100.0,0.9338095238095238,0.9269312169312169
150.0,0.9457142857142857,0.9415079365079365
200.0,0.9507142857142857,0.9472751322751323
250.0,0.9547619047619048,0.9524074074074074
300.0,0.9580952380952381,0.9565873015873015
350.0,0.9628571428571429,0.9612433862433862
400.0,0.9661904761904762,0.9653968253968254
450.0,0.9666666666666667,0.967010582010582
500.0,0.9678571428571429,0.9690740740740741
550.0,0.97,0.971005291005291
600.0,0.9730952380952381,0.9727513227513227
650.0,0.9730952380952381,0.9727777777777777
700.0,0.9752380952380952,0.9754497354497355
750.0,0.9766666666666667,0.9767724867724867
800.0,0.9783333333333334,0.9777248677248678
850.0,0.9783333333333334,0.9781746031746031
900.0,0.9788095238095238,0.9788624338624339
950.0,0.9804761904761905,0.9798941798941799
1000.0,0.9811904761904762,0.9808201058201058
1050.0,0.9811904761904762,0.9808201058201058
1100.0,0.9811904761904762,0.9808201058201058
1150.0,0.9811904761904762,0.9808201058201058
1200.0,0.9811904761904762,0.9808201058201058
1250.0,0.9811904761904762,0.9808201058201058
1300.0,0.9811904761904762,0.9808201058201058
1350.0,0.9811904761904762,0.9808201058201058
1400.0,0.9811904761904762,0.9808201058201058
1450.0,0.9811904761904762,0.9808201058201058
1500.0,0.9811904761904762,0.9808201058201058
1550.0,0.9811904761904762,0.9808201058201058
1600.0,0.9811904761904762,0.9808201058201058
1650.0,0.9811904761904762,0.9808201058201058
1700.0,0.9811904761904762,0.9808201058201058
1750.0,0.9811904761904762,0.9808201058201058
1800.0,0.9811904761904762,0.9808201058201058
1850.0,0.9811904761904762,0.9808201058201058
1900.0,0.9811904761904762,0.9808201058201058
1950.0,0.9811904761904762,0.9808201058201058
