epoch,test,train
0.0,0.15214285714285714,0.15246031746031746
50.0,0.8176190476190476,0.8112169312169312
100.0,0.8714285714285714,0.8647883597883598
150.0,0.893095238095238,0.888015873015873
200.0,0.9064285714285715,0.9015343915343915
250.0,0.915,0.9107407407407407
300.0,0.9207142857142857,0.9172751322751322
350.0,0.925952380952381,0.9220105820105821
400.0,0.9295238095238095,0.9258201058201058
450.0,0.9326190476190476,0.9296825396825397
500.0,0.9347619047619048,0.9325396825396826
550.0,0.9376190476190476,0.9351851851851852
600.0,0.9407142857142857,0.9374603174603174
650.0,0.9419047619047619,0.9395238095238095
700.0,0.9447619047619048,0.9414021164021164
750.0,0.9464285714285714,0.9428571428571428
800.0,0.9478571428571428,0.9443650793650794
850.0,0.949047619047619,0.9456349206349206
900.0,0.9502380952380952,0.946931216931217
950.0,0.9511904761904761,0.9479100529100529
1000.0,0.9523809523809523,0.949047619047619
1050.0,0.9535714285714286,0.95
1100.0,0.9542857142857143,0.9506613756613757
1150.0,0.955952380952381,0.9514814814814815
1200.0,0.955952380952381,0.9518783068783069
1250.0,0.9564285714285714,0.9524338624338624
1300.0,0.9573809523809523,0.9529100529100529
1350.0,0.9573809523809523,0.9534391534391534
1400.0,0.9576190476190476,0.9538095238095238
1450.0,0.9578571428571429,0.9542857142857143
1500.0,0.9578571428571429,0.9546031746031746
1550.0,0.9583333333333334,0.9547883597883597
1600.0,0.9588095238095238,0.9550793650793651
1650.0,0.959047619047619,0.9552910052910053
1700.0,0.9595238095238096,0.9554761904761905
1750.0,0.9595238095238096,0.9556349206349206
1800.0,0.9595238095238096,0.9557671957671958
1850.0,0.9595238095238096,0.955952380952381
1900.0,0.9595238095238096,0.9560846560846561
1950.0,0.9595238095238096,0.9561111111111111
