epoch,test,train
0.0,0.26785714285714285,0.2634920634920635
50.0,0.9045238095238095,0.9044973544973545
100.0,0.929047619047619,0.9283862433862434
150.0,0.940952380952381,0.9386243386243386
200.0,0.9476190476190476,0.9462698412698413
250.0,0.9545238095238096,0.9522222222222222
300.0,0.9569047619047619,0.955952380952381
350.0,0.960952380952381,0.9588359788359788
400.0,0.965,0.9616666666666667
450.0,0.9680952380952381,0.9642063492063492
500.0,0.9688095238095238,0.9658465608465608
550.0,0.9695238095238096,0.9673544973544973
600.0,0.9711904761904762,0.9685978835978836
650.0,0.9719047619047619,0.9698148148148148
700.0,0.9721428571428572,0.9705820105820105
750.0,0.9726190476190476,0.9712698412698413
800.0,0.9730952380952381,0.971984126984127
850.0,0.9733333333333334,0.9727248677248678
900.0,0.974047619047619,0.9733333333333334
950.0,0.9742857142857143,0.9737830687830688
1000.0,0.9752380952380952,0.9745502645502645
1050.0,0.9754761904761905,0.9749735449735449
1100.0,0.9759523809523809,0.9755291005291006
1150.0,0.9761904761904762,0.9757142857142858
1200.0,0.9764285714285714,0.9761111111111112
1250.0,0.9766666666666667,0.9764021164021164
1300.0,0.9771428571428571,0.9767724867724867
1350.0,0.9771428571428571,0.976984126984127
1400.0,0.9776190476190476,0.9771428571428571
1450.0,0.9778571428571429,0.9774338624338624
1500.0,0.9785714285714285,0.9776455026455027
1550.0,0.9785714285714285,0.9777513227513227
1600.0,0.9785714285714285,0.9777248677248678
1650.0,0.9785714285714285,0.9778042328042328
1700.0,0.979047619047619,0.978015873015873
1750.0,0.979047619047619,0.9780952380952381
1800.0,0.979047619047619,0.9781216931216932
1850.0,0.9792857142857143,0.9781746031746031
1900.0,0.9792857142857143,0.9782539682539683
1950.0,0.9792857142857143,0.9782804232804233
